,index,tavg,tmin,tmax,prcp,wspd,pres,tsun,mrc,time
266,2022-03-01,-2.7,-7.2,2.0,80.7,,,,Les Moulins,
267,2022-04-01,-7.5,0.5,10.7,108.6,11.1,1015.3,,Les Moulins,
268,2022-05-01,1.6,8.6,22.1,61.4,9.2,1016.9,,Les Moulins,
269,2022-06-01,10.0,12.2,23.7,101.0,8.8,1012.8,,Les Moulins,
270,2022-07-01,11.7,14.7,27.4,98.8,8.6,1011.7,,Les Moulins,
271,2022-08-01,12.0,14.7,26.0,107.4,6.5,1015.2,,Les Moulins,
272,2022-09-01,8.8,9.4,20.4,156.3,6.9,1015.9,,Les Moulins,
273,2022-10-01,3.0,2.5,16.3,42.9,7.0,1018.0,,Les Moulins,
274,2022-11-01,-8.6,-1.2,7.7,87.0,8.8,1017.9,,Les Moulins,
275,2022-12-01,-11.5,-6.0,1.5,110.1,11.5,1019.3,,Les Moulins,
276,2023-01-01,-20.5,-9.8,-1.8,85.5,8.2,1016.8,,Les Moulins,
277,2023-02-01,-26.8,-14.8,-2.6,64.9,9.7,1016.9,,Les Moulins,
278,2023-03-01,-1.1,-5.5,2.9,66.0,,,,Les Moulins,
279,2023-04-01,-4.1,1.8,12.6,96.8,10.6,1016.1,,Les Moulins,
280,2023-05-01,2.5,5.9,20.2,59.9,10.2,1015.8,,Les Moulins,
281,2023-06-01,10.1,13.3,24.1,115.7,7.3,1011.5,,Les Moulins,
282,2023-07-01,15.8,17.0,27.1,186.8,6.1,1011.6,,Les Moulins,
283,2023-08-01,12.4,13.5,24.3,124.0,6.7,1012.1,,Les Moulins,
284,2023-09-01,7.4,11.7,23.2,21.7,5.9,1018.7,,Les Moulins,
285,2023-10-01,2.8,7.6,16.5,178.5,7.7,1012.5,,Les Moulins,
286,2023-11-01,-5.6,-2.9,5.0,54.1,9.0,1017.8,,Les Moulins,
287,2023-12-01,-11.5,-5.2,1.1,132.8,7.5,1019.4,,Les Moulins,
288,2016-01-01,-12.1,-13.7,-3.4,47.6,,,,L'Assomption,
289,2016-02-01,-10.7,-13.2,-2.8,128.8,,,,L'Assomption,
290,2016-03-01,-10.7,-6.7,2.7,118.0,,,,L'Assomption,
291,2016-04-01,0.8,-2.9,8.9,,,,,L'Assomption,
292,2016-05-01,13.8,6.8,20.2,40.6,14.5,,,L'Assomption,
293,2016-06-01,14.7,12.4,24.6,74.9,10.1,1011.7,,L'Assomption,
294,2016-07-01,17.0,14.7,26.6,91.1,8.4,1012.9,,L'Assomption,
295,2016-08-01,17.5,15.6,27.1,,,,,L'Assomption,
296,2016-09-01,13.0,9.6,22.8,,,,,L'Assomption,
297,2016-10-01,6.4,3.6,13.2,,,,,L'Assomption,
298,2016-11-01,1.5,-0.3,7.1,58.0,,,,L'Assomption,
299,2016-12-01,-13.2,-10.3,-1.8,115.2,,,,L'Assomption,
300,2017-01-01,-13.2,-10.8,-2.3,69.6,,,,L'Assomption,
301,2017-02-01,-13.0,-10.2,-1.8,113.7,,,,L'Assomption,
302,2017-03-01,-11.6,-11.0,-1.3,95.0,,,,L'Assomption,
303,2017-04-01,0.5,1.4,10.7,159.5,,,,L'Assomption,
304,2017-05-01,9.9,7.3,17.0,,,,,L'Assomption,
305,2017-06-01,14.7,14.3,23.9,,,,,L'Assomption,
306,2017-07-01,18.0,13.9,25.0,,,,,L'Assomption,
307,2017-08-01,15.2,13.2,24.5,75.1,,,,L'Assomption,
308,2017-09-01,14.4,11.3,23.6,50.0,,,,L'Assomption,
309,2017-10-01,7.4,6.0,18.5,,,,,L'Assomption,
310,2017-11-01,-3.3,-3.0,4.9,,,,,L'Assomption,
311,2017-12-01,-15.9,-13.7,-5.9,63.8,,,,L'Assomption,
312,2018-01-01,-15.8,-17.0,-6.4,111.6,,,,L'Assomption,
313,2018-02-01,-14.4,-12.6,-0.4,77.4,,,,L'Assomption,
314,2018-03-01,-3.3,-5.3,2.6,55.5,,,,L'Assomption,
315,2018-04-01,-2.1,-0.9,8.1,,,,,L'Assomption,
316,2018-05-01,9.6,7.8,22.1,,,,,L'Assomption,
317,2018-06-01,15.3,12.2,24.3,102.0,,,,L'Assomption,
318,2018-07-01,20.0,16.7,29.3,103.2,,,,L'Assomption,
319,2018-08-01,19.8,16.3,27.3,70.7,,,,L'Assomption,
320,2018-09-01,11.8,10.9,21.9,,,,,L'Assomption,
321,2018-10-01,2.7,3.5,10.5,72.3,,,,L'Assomption,
322,2018-11-01,-5.9,-5.5,1.5,112.5,,,,L'Assomption,
323,2018-12-01,-13.0,-11.2,-2.5,94.7,,,,L'Assomption,
324,2019-01-01,-19.1,-17.0,-7.1,96.4,,,,L'Assomption,
325,2019-02-01,-17.7,-16.0,-4.4,79.6,,,,L'Assomption,
326,2019-03-01,-9.4,-9.2,1.0,67.9,,,,L'Assomption,
327,2019-04-01,-0.9,0.0,9.1,,,,,L'Assomption,
328,2019-05-01,7.4,6.1,16.7,103.5,,,,L'Assomption,
329,2019-06-01,14.8,11.0,23.8,63.1,,,,L'Assomption,
330,2019-07-01,21.0,15.6,28.8,83.7,7.2,1013.1,,L'Assomption,
331,2019-08-01,16.3,14.6,26.7,,,,,L'Assomption,
332,2019-09-01,11.3,9.0,20.7,,,,,L'Assomption,
333,2019-10-01,8.3,3.6,13.9,,,,,L'Assomption,
334,2019-11-01,-5.8,-6.3,2.1,,,,,L'Assomption,
335,2019-12-01,-11.7,-8.9,-1.2,,,,,L'Assomption,
336,2020-01-01,-7.5,-11.8,-3.0,,8.1,1019.3,,L'Assomption,
337,2020-02-01,-11.6,-13.9,-2.2,,10.3,1015.7,,L'Assomption,
338,2020-03-01,-8.9,-5.4,3.6,81.2,,,,L'Assomption,
339,2020-04-01,0.3,-0.6,9.8,,11.6,1011.6,,L'Assomption,
340,2020-05-01,8.2,7.7,19.9,,,,,L'Assomption,
341,2020-06-01,16.5,13.4,26.9,20.1,,,,L'Assomption,
342,2020-07-01,19.7,18.1,29.8,,,,,L'Assomption,
343,2020-08-01,18.8,15.3,26.0,,,,,L'Assomption,
344,2020-09-01,11.2,8.1,19.9,61.1,8.1,1018.1,,L'Assomption,
345,2020-10-01,2.5,2.5,12.7,114.5,8.1,1018.6,,L'Assomption,
