MRC,SECTOR,month_rmse,month_mape
Sept-Rivières,RÉSIDENTIEL,2380098.6140163178,0.08880207609749681
Brome-Missisquoi,COMMERCIAL,3296246.327521274,0.051863985158449845
Le Haut-Saint-François,COMMERCIAL,2877157.6826979886,0.4603384108893101
Le Haut-Saint-François,AGRICOLE,215749.50100668223,0.08568282010418915
Le Granit,RÉSIDENTIEL,1804874.2818167086,0.10217369922456453
Le Granit,INSTITUTIONNEL,140347.09383138022,0.04843641264853821
Le Granit,INDUSTRIEL,1329336.9524720528,0.05993645119096406
Le Granit,COMMERCIAL,304559.6719043475,0.07291534299370347
Le Granit,AGRICOLE,447666.2318210852,0.11070075515085787
La Haute-Yamaska,RÉSIDENTIEL,7408378.655538419,0.1058273630960478
La Haute-Yamaska,INSTITUTIONNEL,187143.12126589342,0.027493862444879825
Brome-Missisquoi,AGRICOLE,286991.2967189174,0.05312858100972535
La Haute-Yamaska,INDUSTRIEL,1597738.794524061,0.0838521832802805
La Haute-Yamaska,AGRICOLE,116471.4516975756,0.03597000613205394
Coaticook,RÉSIDENTIEL,803573.7757108135,0.09285340340989055
Coaticook,INSTITUTIONNEL,2820416.2165347827,0.10122261345483385
Coaticook,INDUSTRIEL,81941.19580016457,0.012203301484480402
Coaticook,COMMERCIAL,654181.0193633368,0.33539635775136006
Coaticook,AGRICOLE,126597.9332182549,0.024407844315417437
Brome-Missisquoi,RÉSIDENTIEL,7339789.863888008,0.12074843599041135
Brome-Missisquoi,INSTITUTIONNEL,209106.75057156908,0.03771665347990152
Brome-Missisquoi,INDUSTRIEL,1222121.1001914493,0.04865405857596358
La Haute-Yamaska,COMMERCIAL,1831166.8696316609,0.0798798042192137
Beauce-Sartigan,COMMERCIAL,1003147.0506319158,0.05886032536346389
Le Golfe-du-Saint-Laurent,COMMERCIAL,96602.48196311132,0.08398709228186234
La Haute-Côte-Nord,INSTITUTIONNEL,109053.91357052018,0.05322472708181616
Les Appalaches,INDUSTRIEL,278744.476745887,0.03577362288581761
Les Appalaches,COMMERCIAL,732695.8415597682,0.06544717339593073
Les Appalaches,AGRICOLE,432079.59371683706,0.06993618714170767
La Nouvelle-Beauce,RÉSIDENTIEL,2587522.1747169783,0.09558043163527243
