mrc,sector,date,total_kwh,tavg,sector_mrc
Acton,INSTITUTIONNEL,2016-01-01,915360.0,-6.9,INSTITUTIONNELActon
Acton,INDUSTRIEL,2016-01-01,1486223.0,-6.9,INDUSTRIELActon
Acton,COMMERCIAL,2016-01-01,4197431.0,-6.9,COMMERCIALActon
Les Chenaux,INSTITUTIONNEL,2016-01-01,1094888.0,-6.9,INSTITUTIONNELLes Chenaux
Acton,AGRICOLE,2016-01-01,3565750.0,-6.9,AGRICOLEActon
Mékinac,INSTITUTIONNEL,2016-01-01,852135.0,-6.9,INSTITUTIONNELMékinac
Mékinac,INDUSTRIEL,2016-01-01,2757455.0,-6.9,INDUSTRIELMékinac
Mékinac,COMMERCIAL,2016-01-01,3097120.0,-6.9,COMMERCIALMékinac
Mékinac,AGRICOLE,2016-01-01,1011793.0,-6.9,AGRICOLEMékinac
Maskinongé,RÉSIDENTIEL,2016-01-01,46107652.0,-6.9,RÉSIDENTIELMaskinongé
Maskinongé,INSTITUTIONNEL,2016-01-01,1864554.0,-6.9,INSTITUTIONNELMaskinongé
Maskinongé,INDUSTRIEL,2016-01-01,8922961.0,-6.9,INDUSTRIELMaskinongé
Maskinongé,COMMERCIAL,2016-01-01,9601191.0,-6.9,COMMERCIALMaskinongé
Maskinongé,AGRICOLE,2016-01-01,5412798.0,-6.9,AGRICOLEMaskinongé
Mékinac,RÉSIDENTIEL,2016-01-01,17559553.0,-6.9,RÉSIDENTIELMékinac
Le Haut-Saint-François,RÉSIDENTIEL,2016-01-01,21674270.0,-6.9,RÉSIDENTIELLe Haut-Saint-François
Le Haut-Saint-François,INSTITUTIONNEL,2016-01-01,1707136.0,-6.9,INSTITUTIONNELLe Haut-Saint-François
Le Haut-Saint-François,INDUSTRIEL,2016-01-01,9998995.387096774,-6.9,INDUSTRIELLe Haut-Saint-François
Bécancour,RÉSIDENTIEL,2016-01-01,22175244.0,-6.9,RÉSIDENTIELBécancour
Bécancour,INSTITUTIONNEL,2016-01-01,6591346.867741936,-6.9,INSTITUTIONNELBécancour
Bécancour,INDUSTRIEL,2016-01-01,657797914.6032258,-6.9,INDUSTRIELBécancour
Bécancour,COMMERCIAL,2016-01-01,5954193.0,-6.9,COMMERCIALBécancour
Bécancour,AGRICOLE,2016-01-01,3301865.0,-6.9,AGRICOLEBécancour
Arthabaska,RÉSIDENTIEL,2016-01-01,75034195.0,-6.9,RÉSIDENTIELArthabaska
Arthabaska,INSTITUTIONNEL,2016-01-01,5340830.0,-6.9,INSTITUTIONNELArthabaska
Arthabaska,INDUSTRIEL,2016-01-01,31553008.95706897,-6.9,INDUSTRIELArthabaska
Arthabaska,COMMERCIAL,2016-01-01,21648207.0,-6.9,COMMERCIALArthabaska
Drummond,AGRICOLE,2016-01-01,7510760.0,-6.9,AGRICOLEDrummond
Arthabaska,AGRICOLE,2016-01-01,7192198.0,-6.9,AGRICOLEArthabaska
Portneuf,INSTITUTIONNEL,2016-01-01,5202368.0,-6.9,INSTITUTIONNELPortneuf
Portneuf,INDUSTRIEL,2016-01-01,336961409.7,-6.9,INDUSTRIELPortneuf
Portneuf,COMMERCIAL,2016-01-01,12348382.0,-6.9,COMMERCIALPortneuf
Portneuf,AGRICOLE,2016-01-01,4634866.0,-6.9,AGRICOLEPortneuf
La Jacques-Cartier,RÉSIDENTIEL,2016-01-01,59222702.0,-6.9,RÉSIDENTIELLa Jacques-Cartier
